2019-10-17 16:55:48.9370||DEBUG|WebAPI.Program|init main 
2019-10-17 16:55:51.3816||INFO|WebAPI.Startup|Added TodoRepository to services 
2019-10-17 16:55:51.4719||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\HansikaW\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. 
2019-10-17 16:55:51.5443||INFO|WebAPI.Startup|In Development environment 
2019-10-17 16:55:51.9041|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:44305/api/values   
2019-10-17 16:55:51.9041|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 DEBUG http://localhost:51417/  0 
2019-10-17 16:55:51.9369|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 31.7023ms 200  
2019-10-17 16:55:52.3044|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "Get", controller = "Values", page = "", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[System.String]] Get() on controller WebAPI.Controllers.ValuesController (WebAPI). 
2019-10-17 16:55:52.7060|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method WebAPI.Controllers.ValuesController.Get (WebAPI) - Validation state: Valid 
2019-10-17 16:55:52.7096|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method WebAPI.Controllers.ValuesController.Get (WebAPI), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 0.4458ms. 
2019-10-17 16:55:52.7400|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'System.String[]'. 
2019-10-17 16:55:52.8022|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action WebAPI.Controllers.ValuesController.Get (WebAPI) in 494.7849ms 
2019-10-17 16:55:52.8079|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 904.5631ms 200 application/json; charset=utf-8 
2019-10-17 16:55:52.9652|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:44305/favicon.ico   
2019-10-17 16:55:52.9652|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 1.0206ms 404  
2019-10-17 16:56:29.1922|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:44305/api/values   
2019-10-17 16:56:29.2019|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "Get", controller = "Values", page = "", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[System.String]] Get() on controller WebAPI.Controllers.ValuesController (WebAPI). 
2019-10-17 16:56:29.2264|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method WebAPI.Controllers.ValuesController.Get (WebAPI) - Validation state: Valid 
2019-10-17 16:56:29.2264|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method WebAPI.Controllers.ValuesController.Get (WebAPI), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 0.0611ms. 
2019-10-17 16:56:29.2264|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'System.String[]'. 
2019-10-17 16:56:29.2264|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action WebAPI.Controllers.ValuesController.Get (WebAPI) in 33.1701ms 
2019-10-17 16:56:29.2264|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 43.7343ms 200 application/json; charset=utf-8 
2019-10-17 16:57:09.0349|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:44305/api/values   
